id:ID,name,:LABEL
k6605,task,KEYWORD
k9958,artifact,KEYWORD
k31015,interactive behavior,KEYWORD
k35545,head,KEYWORD
k37173,motor,KEYWORD
k67273,correct behavior,KEYWORD
k4167,prior knowledge,KEYWORD
k7096,signal-to-noise ratio,KEYWORD
k9918,improvement,KEYWORD
k19263,endpoint,KEYWORD
k20075,spectroscopy,KEYWORD
k33296,quantitative method,KEYWORD
k38636,ccd,KEYWORD
k78196,statistic,KEYWORD
k1435,fmri,KEYWORD
k3702,object representation,KEYWORD
k5341,shape recognition,KEYWORD
k14614,cortex,KEYWORD
k15264,presentation,KEYWORD
k21326,receptive fields,KEYWORD
k23457,neural,KEYWORD
k50685,visual world,KEYWORD
k56609,humans,KEYWORD
k1037,nlp,KEYWORD
k6278,knowledge elicitation,KEYWORD
k6766,english,KEYWORD
k11437,expert,KEYWORD
k16524,machine translation system,KEYWORD
k18532,elicitation,KEYWORD
k35143,rapid development,KEYWORD
k58462,acquisition process,KEYWORD
k574,automation,KEYWORD
k2584,categorization,KEYWORD
k3682,query,KEYWORD
k3699,case studies,KEYWORD
k5210,policies,KEYWORD
k22569,installation,KEYWORD
k32724,migration process,KEYWORD
k74041,checking,KEYWORD
k1463,imbalanced data,KEYWORD
k1528,class imbalance,KEYWORD
k1675,minority class,KEYWORD
k2953,cross-validation,KEYWORD
k17095,evaluation measures,KEYWORD
k2540,semantic,KEYWORD
k2680,relational databases,KEYWORD
k7227,mining,KEYWORD
k24852,benchmark problems,KEYWORD
k31676,relational,KEYWORD
k53475,multi-relational data,KEYWORD
k60259,closed sets,KEYWORD
k63978,positive answer,KEYWORD
k976,graph coloring,KEYWORD
k1197,graph partitioning,KEYWORD
k4627,scientific computing,KEYWORD
k6362,preconditioner,KEYWORD
k6491,original graph,KEYWORD
k9704,efficient algorithms,KEYWORD
k38925,bisection algorithm,KEYWORD
k57560,refinement algorithm,KEYWORD
k78512,processors,KEYWORD
k141,education,KEYWORD
k304,mobile computing,KEYWORD
k1684,adoption,KEYWORD
k2838,pedagogy,KEYWORD
k3666,curriculum,KEYWORD
k4601,empirical studies,KEYWORD
k11398,classroom,KEYWORD
k25066,computing device,KEYWORD
k46859,laptop,KEYWORD
k879,software,KEYWORD
k1219,parallelism,KEYWORD
k1906,memory access,KEYWORD
k2316,sparse matrix,KEYWORD
k5760,prototype implementation,KEYWORD
k11079,runtime,KEYWORD
k15411,hardware support,KEYWORD
k27470,references,KEYWORD
k671,empirical study,KEYWORD
k1346,awareness,KEYWORD
k1849,service,KEYWORD
k5055,touch,KEYWORD
k10186,object manipulation,KEYWORD
k11740,mouse,KEYWORD
k21375,touchscreens,KEYWORD
k21547,closeness,KEYWORD
k49651,planning time,KEYWORD
k263,efficiency,KEYWORD
k1937,discretization,KEYWORD
k3788,linear systems,KEYWORD
k7060,numerical experiments,KEYWORD
k7165,matrix,KEYWORD
k11010,integral equations,KEYWORD
k24828,formulation,KEYWORD
k43134,capacitance,KEYWORD
k61744,forces,KEYWORD
k44,usability,KEYWORD
k2850,assistive technologies,KEYWORD
k4008,health informatics,KEYWORD
k4725,stakeholders,KEYWORD
k12401,evaluation criteria,KEYWORD
k18379,consumer,KEYWORD
k22384,visualizations,KEYWORD
k75271,healthcare information,KEYWORD
k1502,appearance model,KEYWORD
k2589,dataset,KEYWORD
k9381,users,KEYWORD
k24625,real user,KEYWORD
k24718,segmentation performance,KEYWORD
k43794,cues,KEYWORD
k46042,energy minimization problem,KEYWORD
k78071,efficient inference,KEYWORD
k78323,active learning approach,KEYWORD
k80,energy efficiency,KEYWORD
k594,technology,KEYWORD
k1726,workload,KEYWORD
k3560,use cases,KEYWORD
k6481,path loss,KEYWORD
k10199,sensor nodes,KEYWORD
k11923,rfid tags,KEYWORD
k21214,integrated circuits,KEYWORD
k23888,computational,KEYWORD
k26,augmented reality,KEYWORD
k2266,robots,KEYWORD
k2295,stroke,KEYWORD
k7652,posture,KEYWORD
k13553,portable device,KEYWORD
k14058,qualitative methods,KEYWORD
k18505,impedance,KEYWORD
k37328,diseases,KEYWORD
k38456,ellipse,KEYWORD
k525,runtime system,KEYWORD
k2200,caching,KEYWORD
k2358,canonical form,KEYWORD
k2767,local memory,KEYWORD
k7729,parallel i/o,KEYWORD
k33254,processor,KEYWORD
k35153,main idea,KEYWORD
k69482,engineering applications,KEYWORD
k101,operating system,KEYWORD
k5995,data transfer,KEYWORD
k9823,central processing unit,KEYWORD
k16626,i/o,KEYWORD
k22537,buffering,KEYWORD
k24469,real hardware,KEYWORD
k30376,controllers,KEYWORD
k308,navigation,KEYWORD
k5235,liver,KEYWORD
k6281,landmarks,KEYWORD
k16629,fluoroscopy,KEYWORD
k18500,realtime,KEYWORD
k24751,patients,KEYWORD
k54596,three-dimensional space,KEYWORD
k64921,complete data,KEYWORD
k65049,lesions,KEYWORD
k1017,data streams,KEYWORD
k3524,property testing,KEYWORD
k11395,stream,KEYWORD
k15113,aspect ratio,KEYWORD
k31183,point set,KEYWORD
k35592,minimal distance,KEYWORD
k36485,streaming model,KEYWORD
k61873,hyperplanes,KEYWORD
k1630,applications,KEYWORD
k4887,transactions,KEYWORD
k5271,support,KEYWORD
k11085,linear,KEYWORD
k18518,focus,KEYWORD
k27434,implications,KEYWORD
k33522,open,KEYWORD
k405,knowledge base,KEYWORD
k494,user study,KEYWORD
k1750,web accessibility,KEYWORD
k2965,user feedback,KEYWORD
k5221,information overload,KEYWORD
k9750,blind users,KEYWORD
k41103,irrelevant information,KEYWORD
k41378,learning capability,KEYWORD
k119,knowledge representation,KEYWORD
k4111,data integrity,KEYWORD
k6434,inference process,KEYWORD
k10271,predicate calculus,KEYWORD
k22458,formal logic,KEYWORD
k52291,predicate,KEYWORD
k74823,multiple paths,KEYWORD
k2026,teaching,KEYWORD
k4727,students,KEYWORD
k5406,universities,KEYWORD
k5689,communities,KEYWORD
k6262,practice,KEYWORD
k12912,open source software development,KEYWORD
k15308,learning curve,KEYWORD
k67417,courses,KEYWORD
k702,logistic regression,KEYWORD
k12359,intensive care unit,KEYWORD
k19096,statistical approach,KEYWORD
k19140,treatment,KEYWORD
k34137,medication,KEYWORD
k46199,physicians,KEYWORD
k61163,patient data,KEYWORD
k507,concurrency,KEYWORD
k693,java,KEYWORD
k2735,object-oriented programming,KEYWORD
k6850,contracts,KEYWORD
k8539,software components,KEYWORD
k26669,language implementation,KEYWORD
k26993,reusable components,KEYWORD
k44844,software engineering community,KEYWORD
k50800,monitoring tools,KEYWORD
k789,elderly,KEYWORD
k2357,mean absolute error,KEYWORD
k3909,deformable registration,KEYWORD
k4079,public health,KEYWORD
k4840,statistical learning,KEYWORD
k12899,alzheimer,KEYWORD
k23708,human brain,KEYWORD
k36441,training set,KEYWORD
k587,detection,KEYWORD
k600,testing,KEYWORD
k4870,x-ray,KEYWORD
k5193,structural health monitoring,KEYWORD
k11249,failures,KEYWORD
k12844,auditory,KEYWORD
k20383,experimental research,KEYWORD
k42592,inspections,KEYWORD
k50398,damage,KEYWORD
k509,parallel algorithms,KEYWORD
k2555,partial differential equations,KEYWORD
k2572,testbed,KEYWORD
k6621,problem size,KEYWORD
k12108,shallow water equations,KEYWORD
k25456,parallel computers,KEYWORD
k29483,climate,KEYWORD
k29659,global model,KEYWORD
k2107,multicore,KEYWORD
k7429,speedup,KEYWORD
k11735,shared cache,KEYWORD
k13121,experimental analysis,KEYWORD
k26363,performance metric,KEYWORD
k48088,cache partitioning,KEYWORD
k57370,cache capacity,KEYWORD
k58624,partitioning scheme,KEYWORD
k63110,qos requirements,KEYWORD
k867,cognition,KEYWORD
k3786,locomotion,KEYWORD
k6618,visual system,KEYWORD
k13381,head movement,KEYWORD
k30226,neurons,KEYWORD
k47183,sensorimotor,KEYWORD
k47840,retinal ganglion cells,KEYWORD
k82888,background motion,KEYWORD
k692,statistical machine translation,KEYWORD
k1832,preprocessing,KEYWORD
k3975,arabic,KEYWORD
k5445,informatics,KEYWORD
k6101,chinese,KEYWORD
k31351,learning experience,KEYWORD
k36694,faculty,KEYWORD
k72978,darpa,KEYWORD
k291,tracking,KEYWORD
k1940,outliers,KEYWORD
k3546,color constancy,KEYWORD
k4935,rigid motion,KEYWORD
k9734,reference frame,KEYWORD
k15717,robust algorithm,KEYWORD
k16314,lighting,KEYWORD
k20617,video sequences,KEYWORD
k27596,global structure,KEYWORD
k5201,attributes,KEYWORD
k10205,range queries,KEYWORD
k23997,access methods,KEYWORD
k52745,record,KEYWORD
k52799,indices,KEYWORD
k60250,employee,KEYWORD
k62533,boolean queries,KEYWORD
k3282,value,KEYWORD
k4867,bounds,KEYWORD
k5491,subgame perfect equilibrium,KEYWORD
k5956,allocation,KEYWORD
k7197,price auction,KEYWORD
k9219,case,KEYWORD
k15022,equilibria,KEYWORD
k52969,units,KEYWORD
k69253,inefficiency,KEYWORD
k3065,regulation,KEYWORD
k13999,tasks,KEYWORD
k14590,self-monitoring,KEYWORD
k14666,student,KEYWORD
k18074,learning performance,KEYWORD
k20059,iterative process,KEYWORD
k38494,behavior patterns,KEYWORD
k63705,learners,KEYWORD
k4574,computer science department,KEYWORD
k10675,proteins,KEYWORD
k13104,structural information,KEYWORD
k21424,nmr,KEYWORD
k39836,molecular structure,KEYWORD
k60279,spatial proximity,KEYWORD
k14491,class,KEYWORD
k28828,default,KEYWORD
k817,metrics,KEYWORD
k1504,discrete geometry,KEYWORD
k6953,invariance,KEYWORD
k10735,piecewise linear approximation,KEYWORD
k13668,convex geometry,KEYWORD
k18539,dimensions,KEYWORD
k19656,error tolerance,KEYWORD
k27432,discussion,KEYWORD
k33381,quadratic functions,KEYWORD
k652,signal processing,KEYWORD
k2701,transfer function,KEYWORD
k3511,audio,KEYWORD
k11117,audio processing,KEYWORD
k19640,acoustics,KEYWORD
k23709,measurement system,KEYWORD
k33631,complete system,KEYWORD
k49132,microphone arrays,KEYWORD
k490,database,KEYWORD
k6258,capability,KEYWORD
k8251,state,KEYWORD
k9288,user,KEYWORD
k21672,database management systems,KEYWORD
k35022,subject,KEYWORD
k301,kalman filter,KEYWORD
k727,markov chain monte carlo,KEYWORD
k2507,data assimilation,KEYWORD
k7100,bayesian approach,KEYWORD
k16197,invariant measure,KEYWORD
k38227,stochastic partial differential equations,KEYWORD
k47232,mcmc methods,KEYWORD
k61466,sampling problem,KEYWORD
k67654,weather prediction,KEYWORD
k3774,prostate cancer,KEYWORD
k8867,statistical methods,KEYWORD
k11586,prognosis,KEYWORD
k13107,biomarkers,KEYWORD
k14837,lung,KEYWORD
k22879,disease diagnosis,KEYWORD
k42480,markers,KEYWORD
k4142,transformation language,KEYWORD
k6353,query rewriting,KEYWORD
k11734,graph transformations,KEYWORD
k15050,biomedical ontologies,KEYWORD
k30771,rdf data,KEYWORD
k530,graph,KEYWORD
k3178,partition,KEYWORD
k7172,parameterized algorithm,KEYWORD
k14817,submodular functions,KEYWORD
k38400,total weight,KEYWORD
k44424,search tree algorithm,KEYWORD
k69938,integer,KEYWORD
k9916,boolean satisfiability,KEYWORD
k11643,computational power,KEYWORD
k20639,fast computation,KEYWORD
k25648,digital circuits,KEYWORD
k32941,semiconductor industry,KEYWORD
k80395,design challenges,KEYWORD
k401,type system,KEYWORD
k1514,constraint system,KEYWORD
k8263,annotations,KEYWORD
k8621,expressiveness,KEYWORD
k8661,languages,KEYWORD
k14166,subtyping,KEYWORD
k15657,programmability,KEYWORD
k50260,decidable,KEYWORD
k51190,messages,KEYWORD
k448,integration,KEYWORD
k522,mobile,KEYWORD
k5437,arm,KEYWORD
k7044,camera,KEYWORD
k21337,reality,KEYWORD
k28811,das,KEYWORD
k935,exception handling,KEYWORD
k4098,intermediate language,KEYWORD
k6055,compilers,KEYWORD
k6238,compilation,KEYWORD
k22467,symbol,KEYWORD
k23916,object-oriented languages,KEYWORD
k38541,table,KEYWORD
k95,game theory,KEYWORD
k2100,social capital,KEYWORD
k22641,social relationships,KEYWORD
k28944,social systems,KEYWORD
k30303,interests,KEYWORD
k44139,mathematical framework,KEYWORD
k49709,orderings,KEYWORD
k60447,solution concepts,KEYWORD
k75141,conditional preferences,KEYWORD
k63,sentiment analysis,KEYWORD
k8335,blogs,KEYWORD
k8646,understanding,KEYWORD
k16376,metaphors,KEYWORD
k16938,computational analysis,KEYWORD
k25987,opinion extraction,KEYWORD
k1102,computed tomography,KEYWORD
k4714,radiology,KEYWORD
k6756,automatic annotation,KEYWORD
k10024,semantic features,KEYWORD
k18872,controlled vocabulary,KEYWORD
k32877,lesion,KEYWORD
k75302,liver lesions,KEYWORD
k294,homomorphic encryption,KEYWORD
k881,malware,KEYWORD
k6957,government,KEYWORD
k14495,elections,KEYWORD
k15866,personal computer,KEYWORD
k24899,canada,KEYWORD
k30229,voting systems,KEYWORD
k63632,voter,KEYWORD
k76039,secret,KEYWORD
k9710,threats,KEYWORD
k10637,corruption,KEYWORD
k21841,user identity,KEYWORD
k24803,real-world applications,KEYWORD
k27735,application data,KEYWORD
k31429,control flow integrity,KEYWORD
k37191,attack patterns,KEYWORD
k53332,bug,KEYWORD
k57053,internet worms,KEYWORD
k393,software development,KEYWORD
k1619,productivity,KEYWORD
k15383,schedule,KEYWORD
k17041,activities,KEYWORD
k19259,projects,KEYWORD
k27346,fault rate,KEYWORD
k30949,historical data,KEYWORD
k70424,quantitative models,KEYWORD
k1911,design process,KEYWORD
k8141,enterprise,KEYWORD
k8892,software tools,KEYWORD
k13124,machining,KEYWORD
k43504,designers,KEYWORD
k49859,interactive process,KEYWORD
k7681,logical structure,KEYWORD
k8273,learning system,KEYWORD
k9795,combinatorial explosion,KEYWORD
k15065,computer program,KEYWORD
k28768,syntactic,KEYWORD
k73064,complex environments,KEYWORD
k80176,real-world,KEYWORD
k115,data structure,KEYWORD
k7262,internal representation,KEYWORD
k16520,control structure,KEYWORD
k25084,sketches,KEYWORD
k25479,english text,KEYWORD
k53109,word problems,KEYWORD
k55252,textbooks,KEYWORD
k872,image enhancement,KEYWORD
k2753,contrast enhancement,KEYWORD
k5319,benefits,KEYWORD
k8574,goals,KEYWORD
k11582,decoupling,KEYWORD
k25266,implicit,KEYWORD
k31566,adjustment,KEYWORD
k42894,dynamic range,KEYWORD
k54534,chromaticity,KEYWORD
k22,privacy,KEYWORD
k68,image retrieval,KEYWORD
k1212,retrieval performance,KEYWORD
k8406,mobile systems,KEYWORD
k9404,computation offloading,KEYWORD
k17640,privacy concerns,KEYWORD
k25020,energy savings,KEYWORD
k30954,servers,KEYWORD
k11072,dsm,KEYWORD
k20399,study,KEYWORD
k27031,checklist,KEYWORD
k46478,rating scale,KEYWORD
k47724,self-report,KEYWORD
k62226,borderline personality disorder,KEYWORD
k167,computational geometry,KEYWORD
k202,grid computing,KEYWORD
k2318,network traffic,KEYWORD
k2531,infrastructure,KEYWORD
k4940,environmental monitoring,KEYWORD
k18772,security attacks,KEYWORD
k48202,fundamental problem,KEYWORD
k49147,web logs,KEYWORD
k4,data mining,KEYWORD
k86,ubiquitous computing,KEYWORD
k695,electronic commerce,KEYWORD
k1343,user interfaces,KEYWORD
k2233,social simulation,KEYWORD
k12502,computer hardware,KEYWORD
k12900,information technologies,KEYWORD
k24106,internet connectivity,KEYWORD
k40249,service-oriented systems,KEYWORD
k270,crowdsourcing,KEYWORD
k273,android,KEYWORD
k477,middleware,KEYWORD
k1190,service selection,KEYWORD
k1413,mobility management,KEYWORD
k6265,mobile internet,KEYWORD
k10153,incentive,KEYWORD
k17705,revenue,KEYWORD
k17928,mobile users,KEYWORD
k2756,voting,KEYWORD
k9362,noise model,KEYWORD
k14970,axiomatic characterization,KEYWORD
k25101,mle,KEYWORD
k63174,maximum likelihood estimators,KEYWORD
k63506,nets,KEYWORD
k69540,voting rules,KEYWORD
k75892,winner,KEYWORD
k43,hash function,KEYWORD
k189,algorithm,KEYWORD
k675,implementation,KEYWORD
k1807,development,KEYWORD
k2289,behavior,KEYWORD
k5026,computing,KEYWORD
k14877,scheme,KEYWORD
k25170,surveys,KEYWORD
k44130,perfect,KEYWORD
k2724,guidelines,KEYWORD
k35306,los,KEYWORD
k46909,privacy regulation,KEYWORD
k114,modeling,KEYWORD
k2875,features,KEYWORD
k8250,object,KEYWORD
k14534,collection,KEYWORD
k235,markov decision process,KEYWORD
k829,agent,KEYWORD
k1561,optimal policy,KEYWORD
k9203,possible worlds,KEYWORD
k10187,repair,KEYWORD
k12689,bayes,KEYWORD
k186,shared memory,KEYWORD
k564,coordination,KEYWORD
k1363,mobile agents,KEYWORD
k5204,computers,KEYWORD
k12924,threads,KEYWORD
k25126,paradigms,KEYWORD
k34362,common framework,KEYWORD
k661,software testing,KEYWORD
k684,software quality,KEYWORD
k14321,system implementation,KEYWORD
k35542,analysis tools,KEYWORD
k35699,temporal properties,KEYWORD
k65857,log file,KEYWORD
k77367,test suites,KEYWORD
k950,owl,KEYWORD
k1503,standardization,KEYWORD
k18035,representation language,KEYWORD
k64176,logic reasoning,KEYWORD
k624,sensors,KEYWORD
k993,mobile robots,KEYWORD
k4191,belief,KEYWORD
k4621,probabilistic algorithm,KEYWORD
k6633,collaborative,KEYWORD
k7400,robot localization,KEYWORD
k11656,teams,KEYWORD
k478,case-based reasoning,KEYWORD
k1786,computer system,KEYWORD
k6226,engineering design,KEYWORD
k6230,process planning,KEYWORD
k8166,publications,KEYWORD
k50292,generative,KEYWORD
k118,performance evaluation,KEYWORD
k1703,finite state automaton,KEYWORD
k2170,automata,KEYWORD
k6103,line detection,KEYWORD
k7222,automaton,KEYWORD
k21149,supervisory control theory,KEYWORD
k21915,software processes,KEYWORD
k32818,measure theory,KEYWORD
k71151,simulation experiments,KEYWORD
k74,multi-agent systems,KEYWORD
k8602,organizations,KEYWORD
k10188,information gathering,KEYWORD
k22459,crisis,KEYWORD
k26443,heterogeneous agents,KEYWORD
k36481,schedulers,KEYWORD
k46765,proxies,KEYWORD
k73734,system failures,KEYWORD
k83,mutual information,KEYWORD
k285,feature vector,KEYWORD
k2227,speech recognition system,KEYWORD
k3780,correlation coefficient,KEYWORD
k12709,phoneme recognition,KEYWORD
k14665,acoustic features,KEYWORD
k14919,clean speech,KEYWORD
k46316,maximum mutual information,KEYWORD
k61052,feature sets,KEYWORD
k97,digital library,KEYWORD
k5128,computer,KEYWORD
k33400,animals,KEYWORD
k40003,young children,KEYWORD
k49154,mice,KEYWORD
k51224,collaborative behavior,KEYWORD
k322,healthcare,KEYWORD
k2689,electronic health records,KEYWORD
k7864,prevention,KEYWORD
k11338,united states,KEYWORD
k13382,dispute resolution,KEYWORD
k19330,health information,KEYWORD
k2217,causality,KEYWORD
k2267,sequential pattern mining,KEYWORD
k4606,plan recognition,KEYWORD
k8092,sequential patterns,KEYWORD
k12355,actions,KEYWORD
k63062,run,KEYWORD
k6847,measures,KEYWORD
k12885,complexity classes,KEYWORD
k22411,material,KEYWORD
k27149,crc,KEYWORD
k3831,hybrid approach,KEYWORD
k5266,data-driven,KEYWORD
k11257,median,KEYWORD
k25112,questions,KEYWORD
k35874,score,KEYWORD
k54566,track,KEYWORD
k64870,authors,KEYWORD
k2183,virtual worlds,KEYWORD
k3248,online,KEYWORD
k7365,predictive modeling,KEYWORD
k7870,social,KEYWORD
k14023,real world,KEYWORD
k32827,generalizability,KEYWORD
k55710,large subset,KEYWORD
k306,multimedia,KEYWORD
